t,x,n
0.001,-20.8,0
0.001,-15.6,0
0.001,-10.4,0
0.001,-5.2,0
0.001,0,0
0.001,5.2,0.01430625
0.001,10.4,0.02836275
0.001,15.6,0.04217599
0.001,20.8,0
0.001,26,0
0.001,31.2,0
0.001,36.4,0
0.001,41.6,0
0.001,46.8,0
0.001,52,0
0.001,57.2,0
0.001,62.4,0
0.002,-20.8,0
0.002,-15.6,0
0.002,-10.4,0
0.002,-5.2,0
0.002,0,0
0.002,5.2,0.02836056
0.002,10.4,0.05573527
0.002,15.6,0.08216235
0.002,20.8,0
0.002,26,0
0.002,31.2,0
0.002,36.4,0
0.002,41.6,0
0.002,46.8,0
0.002,52,0
0.002,57.2,0
0.002,62.4,0
